County,County Code,Trump,Clinton,Population,mean_income,unemployment_rate,veteran_rate,male,median age,pct_white,pct_construction_mining,pct_transport,pct_bluecollar,pct_degree
"Alcona County, Michigan",26001,0.678,0.279,10550,23933,12.2,17.3,5310,56.6,97.5,10.7,21.3,32,14.3
"Alger County, Michigan",26003,0.572,0.368,9476,21259,10.8,12.5,5218,48.7,85.7,7,18.3,25.3,18.4
"Allegan County, Michigan",26005,0.613,0.324,112837,25161,6.1,8,56205,40,94.5,11.6,25.8,37.4,21.5
"Alpena County, Michigan",26007,0.619,0.332,29068,22082,9.3,11.6,14276,47.1,96.7,9.3,13.7,23,16.5
"Antrim County, Michigan",26009,0.624,0.328,23267,27155,9.7,11.5,11587,49.5,96.1,10.7,16.3,27,25.3
"Arenac County, Michigan",26011,0.643,0.31,15424,21197,12,11.3,7813,48.4,96.5,11.4,20,31.4,11.7
"Baraga County, Michigan",26013,0.618,0.331,8690,17461,8.1,10.7,5265,43.6,73.8,10.1,15.6,25.7,13.1
"Barry County, Michigan",26015,0.633,0.301,59147,25795,7.9,10.1,29733,42.6,96.4,11.7,18.4,30.1,19.2
"Bay County, Michigan",26017,0.535,0.409,106698,24445,9.7,10,52513,42.6,94.5,8.8,13.1,21.9,18.3
"Benzie County, Michigan",26019,0.542,0.402,17437,25023,8.4,13.4,8708,48.4,96,12.4,12.5,24.9,24.2
"Berrien County, Michigan",26021,0.537,0.41,155565,25241,9.4,9.2,76026,41.4,78.1,8.8,15,23.8,26.1
"Branch County, Michigan",26023,0.667,0.287,43706,21263,7,9.3,22539,40.6,94.7,10.1,22.3,32.4,13.5
"Calhoun County, Michigan",26025,0.535,0.41,134790,23150,10,10.8,65845,40.1,82.7,7.5,20.5,28,20.1
"Cass County, Michigan",26027,0.63,0.322,51952,24314,9.7,10.8,26159,44.1,88.3,12.2,21.5,33.7,16.9
"Charlevoix County, Michigan",26029,0.595,0.352,26134,28188,7.8,10.6,12903,46.7,95.2,10.8,18.6,29.4,27.9
"Cheboygan County, Michigan",26031,0.635,0.315,25690,23631,13.9,11.7,12791,49.1,93.2,11.4,11,22.4,18.1
"Chippewa County, Michigan",26033,0.59,0.348,38586,20396,11.7,11.6,21156,39,71.6,8,11.6,19.6,19.1
"Clare County, Michigan",26035,0.635,0.317,30710,19181,13.2,11.2,15163,46.4,96.5,10.2,15.9,26.1,11.6
"Clinton County, Michigan",26037,0.532,0.406,76905,29766,6.5,8,37952,39.7,93.6,13.3,15.7,29,29.7
"Crawford County, Michigan",26039,0.636,0.308,13895,22595,12,13.9,7024,49.3,96.3,10.6,13.8,24.4,17.2
"Delta County, Michigan",26041,0.601,0.348,36712,23061,9.2,13.4,18172,46.4,94.2,10.6,19.8,30.4,18.9
"Dickinson County, Michigan",26043,0.652,0.298,26012,24880,7,13.2,12886,46.4,96.6,11.5,17.5,29,22.4
