County,Total,Trump,County Code,Population,mean_income,unemployment,veteran_rate,Male,median_age,pct_white,pct_bluecollar,pct_degree
ADAMS ,10130,5966,55001,20294,23668,9.5,13.7,10955,52.2,93.2,31.0,12.7
ASHLAND ,8032,3303,55003,15936,22270,7.2,10.3,8000,41.6,84.9,25.7,22.2
BARRON ,22671,13614,55005,45548,25426,5.4,9.5,22945,44.1,95.7,35.4,18.2
BAYFIELD ,9612,4124,55007,14987,27321,6.8,12.1,7668,51.2,86.2,26.8,29.2
BROWN ,129011,67210,55009,256621,28787,5.3,8.1,127380,36.8,86,24.9,28.2
BUFFALO ,6981,4048,55011,13256,26973,3.7,10.1,6743,45.4,97.5,35.6,18.2
BURNETT ,8738,5410,55013,15259,25073,6.3,13.9,7803,51.6,91.6,29.3,18.5
CALUMET ,26595,15367,55015,49653,30856,2.6,7,24933,39.4,94.6,28.7,28.7
CHIPPEWA ,31568,17916,55017,63355,26299,4.2,10,32937,41,95.1,31.9,19.3
CLARK ,13673,8652,55019,34486,22560,4.2,8.3,17482,37.3,96.6,40.2,11.5
COLUMBIA ,29698,14163,55021,56650,29936,4.3,9.6,28819,42.2,95.4,28.4,22.7
CRAWFORD ,7728,3836,55023,16415,23466,5.4,10.7,8525,46.1,96,35.7,15.7
DANE ,309354,71275,55025,516818,35687,4.4,6.1,256341,34.7,84.1,13.7,49
DODGE ,43078,26635,55027,88404,25617,4.8,8.7,46157,42.1,93.9,36.3,16.3
DOOR ,17592,8580,55029,27669,32767,5.9,9.6,13651,52.2,96.8,26.0,31.3
DOUGLAS ,22536,9661,55031,43705,26036,6.4,11.7,21814,41,93,25.1,22.8
DUNN ,22106,11486,55033,44348,25120,5.5,8.3,22351,34.5,94.4,28.1,26.6
EAU CLAIRE ,55025,23331,55035,101907,26795,4.8,7.5,50071,34,92.7,21.4,30.8
FLORENCE ,2656,1898,55037,4474,28358,7.6,13.6,2331,52.1,99,31.6,17.5
FOND DU LAC ,51796,31022,55039,101968,28036,4.6,8.5,49884,41.1,93.4,32.8,21.9
FOREST ,4545,2787,55041,9108,22559,9.8,11.3,4589,46.2,81.4,32.3,14.1
GRANT ,24368,12350,55043,51723,23103,4.3,7,26874,36,96.6,29.7,21.3
GREEN ,18985,8693,55045,37050,28867,3,7.3,18347,42.6,97.3,29.1,22.7
GREEN LAKE ,9416,6216,55047,18881,26115,5,9,9535,45.4,96.2,38.0,17.7
IOWA ,12275,4809,55049,23751,29610,4.3,8.4,11936,42.9,96.8,28.8,23
IRON ,3513,2081,55051,5850,25536,7.2,14,2970,53.2,96.8,29.7,19.7
JACKSON ,9267,4906,55053,20566,24074,5.6,10.7,10972,42,88.3,32.4,13.9
JEFFERSON ,43109,23417,55055,84538,27272,4.7,8.6,42212,39.5,94.4,28.4,23.5
JUNEAU ,11735,7130,55057,26399,23519,5.8,11.3,14023,44.8,94.4,32.7,12.9
KENOSHA ,76304,36037,55059,167896,27335,8.7,8.2,82941,37.6,86.9,25.3,24.6
KEWAUNEE ,10767,6618,55061,20459,27539,4.6,8.8,10392,43.8,97,36.0,16.9
LA CROSSE ,63674,26378,55063,117538,28240,4.8,8.7,57392,35.4,91.4,21.1,32.5
LAFAYETTE ,7662,3977,55065,16793,25877,3,8.1,8531,41.5,96.9,34.6,17.7
LANGLADE ,10186,6478,55067,19414,24772,7.2,10.8,9763,47.7,96.1,31.9,16.1
LINCOLN ,14712,8401,55069,28171,27322,4.9,10.5,14126,46.6,96.9,32.9,16
MANITOWOC ,40786,23244,55071,80178,26751,4.8,9.5,39917,44.4,94.5,34.7,19.7
